date, pm25, pm10, o3, no2, so2, co
12/1/2022,35,22,17,29,4,5
12/2/2022,40,36,20,32,3,6
12/3/2022,85,21,26,11,2,4
12/4/2022,31,23,19,22,3,4
12/5/2022,44,29,16,39,4,6
12/6/2022,60,37,19,32,3,6
12/7/2022,62,31,12,45,3,5
12/8/2022,46,45,15,45,5,8
12/9/2022,95,45,10,47,4,7
12/10/2022,89,47,22,29,5,7
12/11/2022,94,36,8,45,4,7
12/12/2022,81,137,24,19,2,4
12/13/2022,115,48,20,13,3,3
12/14/2022,44,33,14,34,2,6
12/15/2022,74,33,15,25,3,6
12/16/2022,74,27,22,20,4,5
12/17/2022,60,21,24,11,3,4
12/18/2022,32,23,13,30,3,5
12/19/2022,53,36,7,44,4,7
12/20/2022,83,44,23,39,4,8
12/21/2022,104,41,21,15,3,4
12/22/2022,71, , , , , 
11/1/2022,109,36,20,32,4,4
11/2/2022,57,37,23,31,4,6
11/3/2022,63,30,21,12,4,3
11/4/2022,35,33,24,30,4,5
11/5/2022,56,31,30,34,4,6
11/6/2022,64,32,24,36,4,6
11/7/2022,60,51,31,35,4,6
11/8/2022,108,66,27,45,4,9
11/9/2022,144,77,32,45,4,9
11/10/2022,160,60,29,47,5,9
11/11/2022,122,52,21,40,4,8
11/12/2022,113,21,18,13,3,5
11/13/2022,52,26,28,23,4,6
11/14/2022,63,34,18,30,4,6
11/15/2022,71,36,21,31,4,6
11/16/2022,78,39,15,43,4,7
11/17/2022,79,50,15,48,5,8
11/18/2022,101,34,28,38,4,6
11/19/2022,74,32,32,34,4,6
11/20/2022,69,42,24,44,4,7
11/21/2022,93,55,15,39,4,8
11/22/2022,116,43,25,29,4,6
11/23/2022,93,54,11,41,4,7
11/24/2022,104,58,40,35,5,7
11/25/2022,119,55,25,15,4,4
11/26/2022,66,20,19,26,4,4
11/27/2022,42,29,6,40,4,6
11/28/2022,56,23,25,17,3,5
11/29/2022,44,28,21,9,3,3
11/30/2022,24,23,20,15,4,4
10/1/2022,124,36,35,20,3,5
10/2/2022,86,16,25,14,4,4
10/3/2022,40,16,23,9,3,3
10/4/2022,23,17,22,15,3,3
10/5/2022,29,8,18,14,3,2
10/6/2022,12,11,21,12,3,3
10/7/2022,19,10,29,15,3,3
10/8/2022,19,9,26,13,3,3
10/9/2022,16,9,26,8,3,3
10/10/2022,12,18,25,12,3,3
10/11/2022,36,24,23,29,3,5
10/12/2022,52,24,24,33,3,5
10/13/2022,45,32,24,33,3,5
10/14/2022,64,34,36,29,3,5
10/15/2022,77,37,18,27,3,6
10/16/2022,84,31,22,10,8,3
10/17/2022,39,25,22,14,4,3
10/18/2022,37,29,24,26,3,4
10/19/2022,43,40,31,36,4,5
10/20/2022,69,57,37,44,5,7
10/21/2022,115,50,34,33,4,6
10/22/2022,109,42,37,11,3,3
10/23/2022,74,30,27,14,3,3
10/24/2022,46,19,27,23,3,3
10/25/2022,28,19,17,30,3,3
10/26/2022,32,36,30,33,3,5
10/27/2022,72,47,26,35,3,6
10/28/2022,87,28,28,29,3,5
10/29/2022,64,29,31,25,3,5
10/30/2022,66,31,27,28,2,4
10/31/2022,61,53,34,26,3,6
9/1/2022,37,17,33,15,3,3
9/2/2022,31,13,31,9,2,3
9/3/2022,18,9,26,9,2,3
9/4/2022,18,5,50,11,3,2
9/5/2022,9,13,51,11,3,3
9/6/2022,24,34,25,28,3,4
9/7/2022,59,29,32,32,4,5
9/8/2022,55,19,17,18,3,4
9/9/2022,45,13,20,10,3,3
9/10/2022,30,20,23,10,3,3
9/11/2022,49,18,24,14,3,4
9/12/2022,50,19,17,19,3,4
9/13/2022,55,19,36,16,3,3
9/14/2022,42,20,34,13,3,3
9/15/2022,38,27,27,20,4,3
9/16/2022,51,25,29,21,2,5
9/17/2022,61,17,22,9,3,3
9/18/2022,44,15,24,4,2,2
9/19/2022,22,22,36,8,2,2
9/20/2022,30,25,36,17,3,3
9/21/2022,45,21,40,18,3,3
9/22/2022,37,25,32,19,3,3
9/23/2022,39,19,36,12,3,3
9/24/2022,26,20,48,17,3,4
9/25/2022,45,21,43,25,3,4
9/26/2022,53,22,38,34,3,4
9/27/2022,59,31,36,36,3,5
9/28/2022,67,60,74,31,3,6
9/29/2022,135,55,77,34,3,5
9/30/2022,118,56,72,36,4,7
8/1/2022,34,13,17,10,2,2
8/2/2022,26,23,30,12,2,3
8/3/2022,62,19,39,9,3,2
8/4/2022,50,19,32,10,3,2
8/5/2022,49,36,39,11,2,3
8/6/2022,85,31,34,7,3,3
8/7/2022,73,23,40,11,2,3
8/8/2022,50,10,29,15,3,3
8/9/2022,22,14,34,20,2,3
8/10/2022,29,15,31,22,3,4
8/11/2022,37,28,69,20,3,3
8/12/2022,56,31,19,29,3,5
8/13/2022,71,24,38,12,3,4
8/14/2022,60,27,39,6,3,2
8/15/2022,42,23,43,14,3,4
8/16/2022,51,24,48,22,3,4
8/17/2022,54,24,54,19,3,4
8/18/2022,57,26,24,19,3,4
8/19/2022,57,27,48,11,3,4
8/20/2022,61,26,58,12,2,5
8/21/2022,60,27,39,17,3,3
8/22/2022,64,17,30,17,3,3
8/23/2022,38,15,27,14,3,3
8/24/2022,29,19,29,21,2,3
8/25/2022,21,35,62,17,3,4
8/26/2022,70,24,41,10,3,4
8/27/2022,39,15,33,11,3,3
8/28/2022,29,13,18,17,2,3
8/29/2022,21,5,17,16,3,3
8/30/2022,11,9,25,15,3,4
8/31/2022,13,19,36,20,3,5
7/1/2022,29,30,67,15,3,4
7/2/2022,57,40,58,12,3,4
7/3/2022,92,39,37,19,3,3
7/4/2022,92,34,62,24,3,4
7/5/2022,84,32,47,18,3,3
7/6/2022,77,22,24,14,2,3
7/7/2022,46,28,33,15,3,3
7/8/2022,67,25,37,15,3,3
7/9/2022,64,45,91,18,4,5
7/10/2022,86,28,48,17,3,3
7/11/2022,59,12,36,14,2,2
7/12/2022,21,17,16,20,2,3
7/13/2022,39,14,29,13,2,3
7/14/2022,29,27,48,17,3,3
7/15/2022,60,32,41,17,2,4
7/16/2022,79,26,42,12,3,4
7/17/2022,68,27,44,17,3,4
7/18/2022,65,35,60,15,4,4
7/19/2022,82,38,56,16,3,4
7/20/2022,81,14,40,12,2,4
7/21/2022,34,25,43,9,3,3
7/22/2022,59,33,37,12,3,4
7/23/2022,73,18,38,9,3,4
7/24/2022,48,19,39,13,3,4
7/25/2022,28,33,99,17,3,4
7/26/2022,67,31,51,18,3,4
7/27/2022,66,24,46,13,3,3
7/28/2022,63,23,49,14,3,3
7/29/2022,62,17,33,10,3,3
7/30/2022,45,11,11,9,3,2
7/31/2022,29,14,19,11,3,3
6/1/2022,37,33,55,16,3,4
6/2/2022,66,44,88,19,3,5
6/3/2022,90,39,69,18,3,5
6/4/2022,76,27,43,11,3,4
6/5/2022,62,8,29,6,2,2
6/6/2022,16,7,31,8,2,3
6/7/2022,11,18,38,13,2,3
6/8/2022,31,27,29,18,3,4
6/9/2022,59,27,32,21,3,4
6/10/2022,67,26,55,15,3,3
6/11/2022,58,24,62,12,3,3
6/12/2022,46,29,32,23,3,4
6/13/2022,63,14,30,7,3,2
6/14/2022,22,12,25,15,2,4
6/15/2022,25,19,28,16,2,3
6/16/2022,41,37,49,24,3,5
6/17/2022,80,25,30,15,3,3
6/18/2022,52,28,36,12,3,4
6/19/2022,62,28,51,18,2,4
6/20/2022,63,25,47,21,3,3
6/21/2022,40,29,52,19,3,3
6/22/2022,53,35,38,24,2,4
6/23/2022,73,21,50,14,2,3
6/24/2022,45,52,60,12,3,6
6/25/2022,98,26,36,10,3,3
6/26/2022,52,13,8,10,2,2
6/27/2022,20,18,13,7,2,2
6/28/2022,26,13,11,9,2,2
6/29/2022,23,6,34,16,3,3
6/30/2022,11,18,18,19,3,4
5/1/2022,66,51,42,19,3,4
5/2/2022,83,40,51,25,3,4
5/3/2022,79,43,68,28,4,5
5/4/2022,79,37,57,21,4,4
5/5/2022,72,40,39,20,3,4
5/6/2022,77,33,40,10,3,2
5/7/2022,50,18,36,10,2,3
5/8/2022,30,16,40,16,2,3
5/9/2022,28,28,49,27,3,3
5/10/2022,56,34,46,20,3,3
5/11/2022,67,36,51,20,3,4
5/12/2022,62,32,39,16,3,3
5/13/2022,57,37,40,11,3,3
5/14/2022,50,25,41,9,3,3
5/15/2022,40,36,57,16,3,4
5/16/2022,57,56,79,20,4,5
5/17/2022,101,65,74,20,4,6
5/18/2022,118,51,63,16,4,4
5/19/2022,83,39,59,20,6,4
5/20/2022,80,41,44,14,3,3
5/21/2022,81,45,54,10,3,4
5/22/2022,91,68,97,19,4,5
5/23/2022,136,38,47,21,3,3
5/24/2022,75,27,41,22,3,4
5/25/2022,59,27,39,13,3,4
5/26/2022,35,28,39,13,3,3
5/27/2022,47,38,72,19,5,5
5/28/2022,74,35,67,9,3,3
5/29/2022,81,32,39,15,3,4
5/30/2022,69,28,41,20,3,3
5/31/2022,36,26,46,19,4,4
4/1/2022,35,35,37,25,4,5
4/2/2022,74,51,48,25,4,6
4/3/2022,106,59,45,31,4,6
4/4/2022,125,43,58,34,5,5
4/5/2022,93,48,43,20,4,3
4/6/2022,86,40,35,19,3,3
4/7/2022,43,50,48,31,4,4
4/8/2022,73,54,64,24,4,5
4/9/2022,69,49,56,19,4,5
4/10/2022,63,41,39,26,4,4
4/11/2022,54,33,32,15,3,3
4/12/2022,59,16,34,12,2,3
4/13/2022,32,11,34,11,2,3
4/14/2022,19,22,38,14,3,3
4/15/2022,37,39,49,19,3,3
4/16/2022,74,57,57,20,4,5
4/17/2022,108,60,57,31,5,4
4/18/2022,118,63,63,32,5,6
4/19/2022,126,59,69,25,4,5
4/20/2022,130,55,54,29,4,5
4/21/2022,104,51,49,16,3,5
4/22/2022,98,55,43,25,2,5
4/23/2022,116,54,67,16,3,5
4/24/2022,110,55,44,25,3,7
4/25/2022,111,47,46,13,3,4
4/26/2022,84,115,38,15,3,3
4/27/2022,74,69,41,28,3,4
4/28/2022,67,10,38,10,2,3
4/29/2022,15,19,38,14,2,3
4/30/2022,37,45,53,13,3,4
3/1/2022,88,32,29,27,3,5
3/2/2022,67,54,29,34,4,6
3/3/2022,96,75,58,42,5,8
3/4/2022,121,80,37,12,3,4
3/5/2022,64,46,34,13,3,4
3/6/2022,42,42,14,42,4,5
3/7/2022,72,50,31,45,4,6
3/8/2022,89,63,33,34,3,6
3/9/2022,128,64,38,51,5,8
3/10/2022,130,66,34,55,4,8
3/11/2022,115,61,34,35,3,5
3/12/2022,108,15,30,19,2,5
3/13/2022,43,18,28,22,2,6
3/14/2022,43,46,22,33,3,9
3/15/2022,105,67,33,40,4,7
3/16/2022,131,48,32,21,3,5
3/17/2022,83,6,34,12,3,3
3/18/2022,10,5,32,16,2,3
3/19/2022,11,22,34,18,3,4
3/20/2022,59,26,36,25,3,4
3/21/2022,68,37,34,21,3,5
3/22/2022,83,39,32,31,3,5
3/23/2022,75,50,22,32,4,5
3/24/2022,103,65,38,40,4,6
3/25/2022,141,12,33,13,2,3
3/26/2022,26,34,41,15,3,3
3/27/2022,54,34,29,26,4,4
3/28/2022,58,40,41,32,3,5
3/29/2022,63,39,19,37,3,5
3/30/2022,71,23,35,15,2,4
3/31/2022,44,18,31,18,3,4
2/1/2022,111,32,31,17,3,5
2/2/2022,85,24,31,22,4,5
2/3/2022,61,23,30,18,3,4
2/4/2022,57,30,28,12,3,4
2/5/2022,47,24,32,19,3,5
2/6/2022,51,30,16,32,4,6
2/7/2022,67,33,25,40,4,7
2/8/2022,75,40,16,52,4,7
2/9/2022,89,49,29,43,5,8
2/10/2022,108,69,25,60,5,11
2/11/2022,158,71,29,45,4,10
2/12/2022,154,57,32,40,4,8
2/13/2022,127,42,29,34,4,6
2/14/2022,107,38,30,14,3,4
2/15/2022,89,31,30,13,3,4
2/16/2022,73,33,25,20,4,5
2/17/2022,77,48,10,51,4,8
2/18/2022,100,47,32,29,4,6
2/19/2022,101,33,33,11,3,4
2/20/2022,63,29,32,26,3,5
2/21/2022,65,32,31,15,3,4
2/22/2022,64,29,30,16,4,4
2/23/2022,57,32,28,29,3,5
2/24/2022,69,64,42,45,4,8
2/25/2022,139,65,41,20,4,6
2/26/2022,137,50,36,21,4,4
2/27/2022,90,48,20,40,4,5
2/28/2022,72,40,32,26,3,5
1/3/2022,68,37,14,30,5,6
1/4/2022,80,50,4,47,5,9
1/5/2022,104,55,17,41,6,7
1/6/2022,113,59,8,55,6,10
1/7/2022,125,57,7,60,5,11
1/8/2022,125,92,15,35,4,12
1/9/2022,178,74,19,53,5,13
1/10/2022,158,33,20,16,3,5
1/11/2022,73,30,16,22,4,5
1/12/2022,68,35,22,16,4,5
1/13/2022,58,35,14,34,5,6
1/14/2022,68,48,2,55,5,9
1/15/2022,93,45,25,24,4,6
1/16/2022,93,28,22,27,4,5
1/17/2022,64,36,16,23,4,5
1/18/2022,73,45,22,26,5,6
1/19/2022,102,41,13,35,4,7
1/20/2022,100,40,10,52,5,9
1/21/2022,95,51,4,62,6,10
1/22/2022,122,62,20,44,5,10
1/23/2022,143,22,28,30,4,6
1/24/2022,62,31,20,35,4,6
1/25/2022,75,59,26,34,5,8
1/26/2022,136,60,22,33,5,8
1/27/2022,129,37,25,25,4,5
1/28/2022,80,31,26,19,4,4
1/29/2022,66,35,28,19,5,5
1/30/2022,73,34,27,28,4,6
1/31/2022,77,44,29,16,3,6
10/1/2021,77,28,46,23,3,5
10/2/2021,53,40,48,21,3,6
10/3/2021,83,41,33,18,3,4
10/4/2021,65,39,34,14,3,3
10/5/2021,60,8,13,15,2,4
10/6/2021,11,14,19,20,3,5
10/7/2021,27,21,10,24,3,5
10/8/2021,51,11,19,17,3,4
10/9/2021,19,19,29,16,3,5
10/10/2021,46,27,22,13,2,4
10/11/2021,41,12,27,13,3,3
10/12/2021,15,13,29,18,3,3
10/13/2021,17,22,33,24,3,4
10/14/2021,41,25,26,18,3,4
10/15/2021,58,33,27,8,3,3
10/16/2021,37,22,25,7,2,3
10/17/2021,22,27,16,26,3,5
10/18/2021,44,30,30,25,3,5
10/19/2021,74,29,17,30,3,5
10/20/2021,66,35,22,37,4,6
10/21/2021,77,39,25,35,4,7
10/22/2021,77,41,22,39,4,7
10/23/2021,79,31,37,32,4,6
10/24/2021,72,30,33,38,3,5
10/25/2021,68,48,32,47,5,7
10/26/2021,96,51,31,34,4,7
10/27/2021,105,31,19,38,4,7
10/28/2021,57,24,28,31,3,5
10/29/2021,41,24,15,37,3,5
10/30/2021,49,34,33,28,4,6
10/31/2021,78,39,29,29,4,7
11/1/2021,88,44,27,29,4,6
11/2/2021,91,44,28,37,4,5
11/3/2021,98,52,8,49,4,7
11/4/2021,116,59,20,50,4,6
11/5/2021,133,54,26,44,5,7
11/6/2021,105,35,28,31,4,6
11/7/2021,73,10,23,15,3,3
11/8/2021,17,10,21,20,3,3
11/9/2021,21,13,19,13,3,4
11/10/2021,29,19,20,19,3,4
11/11/2021,31,19,22,13,3,4
11/12/2021,33,25,15,34,4,5
11/13/2021,46,52,34,36,5,7
11/14/2021,101,61,18,45,4,9
11/15/2021,98,54,24,40,5,7
11/16/2021,90,38,13,45,5,6
11/17/2021,74,57,43,44,5,6
11/18/2021,102,82,35,38,4,8
11/19/2021,146,107,23,54,4,11
11/20/2021,186,97,23,50,5,12
11/21/2021,178,43,21,14,3,4
11/22/2021,64,31,17,20,3,4
11/23/2021,46,30,17,37,4,6
11/24/2021,57,47,20,39,5,6
11/25/2021,78,26,17,29,4,5
11/26/2021,54,38,14,37,4,6
11/27/2021,80,47,10,50,5,9
11/28/2021,108,55,8,58,6,10
11/29/2021,124,25,23,32,3,6
11/30/2021,65,18,21,11,3,3
12/1/2021,43,26,10,29,4,5
12/2/2021,60,23,18,21,3,4
12/3/2021,38,23,14,28,6,5
12/4/2021,51,35,13,39,4,8
12/5/2021,86,48,7,55,5,10
12/6/2021,99,49,10,57,5,8
12/7/2021,101,37,7,51,5,9
12/8/2021,83,36,2,45,4,8
12/9/2021,80,33,2,43,4,8
12/10/2021,74,59,12,38,4,8
12/11/2021,133,41,23,17,3,6
12/12/2021,88,22,18,23,3,5
12/13/2021,41,37,7,46,4,6
12/14/2021,73,66,14,46,4,9
12/15/2021,132,76,28,45,4,11
12/16/2021,158,38,22,13,3,4
12/17/2021,68,26,17,35,4,5
12/18/2021,55,35,17,29,4,5
12/19/2021,62,49,15,54,5,8
12/20/2021,100,60,22,47,4,10
12/21/2021,122,35,11,41,4,6
12/22/2021,71,43,7,55,4,10
12/23/2021,88,44,21,40,4,7
12/24/2021,99,26,23,11,3,3
12/25/2021,57,16,21,11,3,4
12/26/2021,40,33,14,41,4,7
12/27/2021,72,53,2,51,4,11
12/28/2021,121,59,17,45,5,11
12/29/2021,142,31,24,22,5,4
12/30/2021,64,24,25,13,4,4
12/31/2021,29,31,13,39,4,7
1/1/2022,66,38,21,33,4,7
1/2/2022,91,28,7,44,4,7
7/1/2021,86,23,42,47,3,4
7/2/2021,61,12,28,25,3,3
7/3/2021,32,8,24,9,2,3
7/4/2021,18,21,44,20,3,5
7/5/2021,42,45,82,29,3,5
7/6/2021,89,32,37,26,4,5
7/7/2021,74,25,45,22,4,4
7/8/2021,62,17,34,21,3,4
7/9/2021,39,25,53,15,4,4
7/10/2021,63,30,47,12,4,4
7/11/2021,70,27,64,22,3,4
7/12/2021,70,30,37,25,4,3
7/13/2021,71,24,27,20,4,3
7/14/2021,50,20,38,20,4,3
7/15/2021,44,19,45,17,3,3
7/16/2021,41,14,30,13,3,3
7/17/2021,35,12,43,9,4,3
7/18/2021,32,13,24,18,4,3
7/19/2021,32,20,36,27,3,3
7/20/2021,47,21,37,22,3,4
7/21/2021,55,24,41,20,4,3
7/22/2021,59,28,58,20,3,3
7/23/2021,70,27,50,20,4,4
7/24/2021,69,20,50,12,3,3
7/25/2021,59,20,51,13,4,3
7/26/2021,56,27,57,18,3,4
7/27/2021,68,34,77,21,3,4
7/28/2021,85,48,74,24,4,5
7/29/2021,112,29,54,20,4,4
7/30/2021,68,23,55,12,4,3
7/31/2021,57,29,45,12,3,4
8/1/2021,71,14,31,18,4,3
8/2/2021,33,18,30,20,3,4
8/3/2021,45,22,31,19,4,4
8/4/2021,55,23,44,16,4,3
8/5/2021,60,17,23,16,4,3
8/6/2021,43,14,46,14,3,3
8/7/2021,28,18,40,12,3,3
8/8/2021,42,10,42,11,3,3
8/9/2021,20,19,45,18,4,4
8/10/2021,44,32,84,19,3,4
8/11/2021,78,36,68,20,3,5
8/12/2021,87,26,32,20,3,4
8/13/2021,66,13,38,9,3,3
8/14/2021,30,10,40,8,3,2
8/15/2021,24,18,44,11,3,3
8/16/2021,44,15,35,13,3,3
8/17/2021,37,10,33,11,3,2
8/18/2021,19,19,35,14,3,3
8/19/2021,37,29,48,24,4,4
8/20/2021,52,18,37,15,3,4
8/21/2021,38,28,48,13,3,5
8/22/2021,62,27,30,25,4,6
8/23/2021,64,11,26,16,3,3
8/24/2021,21,16,22,24,3,4
8/25/2021,33,35,32,29,3,5
8/26/2021,64,30,27,25,4,4
8/27/2021,53,35,56,25,4,4
8/28/2021,68,31,43,14,3,4
8/29/2021,74,39,42,23,3,6
8/30/2021,82,31,27,22,3,6
8/31/2021,70,5,30,13,2,4
9/1/2021,10,12,36,16,4,4
9/2/2021,22,13,41,12,3,3
9/3/2021,26,9,38,9,2,3
9/4/2021,14,9,37,7,2,2
9/5/2021,15,15,33,12,3,3
9/6/2021,29,8,29,19,3,3
9/7/2021,18,11,34,17,3,3
9/8/2021,18,26,49,28,3,5
9/9/2021,57,28,54,27,3,5
9/10/2021,63,29,73,18,4,4
9/11/2021,74,21,50,16,3,4
9/12/2021,52,26,45,18,2,4
9/13/2021,55,21,34,16,3,3
9/14/2021,39,14,37,11,3,3
9/15/2021,23,11,33,14,3,3
9/16/2021,16,10,30,11,3,3
9/17/2021,17,8,40,12,3,3
9/18/2021,18,10,39,13,2,3
9/19/2021,17,10,36,10,2,3
9/20/2021,23,14,49,7,2,4
9/21/2021,36,11,45,9,3,4
9/22/2021,22,16,36,13,3,3
9/23/2021,28,17,34,17,3,4
9/24/2021,39,7,18,12,2,3
9/25/2021,12,6,31,8,3,3
9/26/2021,10,10,24,14,2,3
9/27/2021,14,11,19,17,3,4
9/28/2021,22,13,17,19,3,4
9/29/2021,31,21,27,24,3,5
9/30/2021,42,39,49,23,3,6
4/1/2021,59,48,38,25,4,4
4/2/2021,60,33,32,27,3,5
4/3/2021,56,10,37,10,3,3
4/4/2021,20,23,33,20,3,4
4/5/2021,47,44,44,30,4,5
4/6/2021,86,55,36,34,4,6
4/7/2021,110,37,39,18,3,4
4/8/2021,65,35,39,20,3,4
4/9/2021,66,36,50,20,4,4
4/10/2021,69,47,49,26,4,5
4/11/2021,88,39,29,34,4,4
4/12/2021,76,15,32,14,3,3
4/13/2021,36,28,37,16,3,4
4/14/2021,62,51,41,31,4,5
4/15/2021,89,61,28,31,3,5
4/16/2021,75,73,34,27,3,4
4/17/2021,71,33,37,12,3,4
4/18/2021,55,45,53,27,4,4
4/19/2021,78,56,74,35,5,5
4/20/2021,97,69,69,51,6,6
4/21/2021,122,71,63,37,7,6
4/22/2021,130,44,46,22,4,4
4/23/2021,79,23,39,16,3,3
4/24/2021,48,26,41,15,3,3
4/25/2021,52,31,44,16,2,3
4/26/2021,55,34,35,23,4,4
4/27/2021,62,59,34,26,4,5
4/28/2021,91,63,51,30,4,5
4/29/2021,85,35,42,20,3,4
4/30/2021,69,27,35,14,3,4
5/1/2021,61,16,42,9,3,3
5/2/2021,30,37,45,20,4,5
5/3/2021,75,30,17,36,4,6
5/4/2021,73,42,37,14,3,4
5/5/2021,50,67,52,28,4,5
5/6/2021,73,306,27,22,3,4
5/7/2021,151,402,46,17,3,5
5/8/2021,189,54,49,13,3,3
5/9/2021,50,20,18,35,4,4
5/10/2021,45,21,35,22,3,4
5/11/2021,41,24,45,21,3,4
5/12/2021,42,47,75,35,4,5
5/13/2021,88,56,57,36,5,6
5/14/2021,107,47,25,27,4,5
5/15/2021,105,7,23,9,3,4
5/16/2021,16,11,24,12,3,4
5/17/2021,19,31,38,26,4,4
5/18/2021,63,36,65,27,4,5
5/19/2021,75,25,41,27,3,4
5/20/2021,51,13,39,17,2,4
5/21/2021,28,29,47,20,3,4
5/22/2021,65,38,59,18,4,4
5/23/2021,86,91,38,18,3,4
5/24/2021,104,84,41,19,3,4
5/25/2021,100,50,43,20,3,4
5/26/2021,68,42,40,18,3,5
5/27/2021,74,45,48,21,3,6
5/28/2021,85,21,34,17,3,4
5/29/2021,49,27,52,15,3,3
5/30/2021,57,38,42,19,3,4
5/31/2021,77,41,31,26,4,5
6/1/2021,82,55,63,27,5,5
6/2/2021,101,33,35,26,3,5
6/3/2021,71,28,53,18,4,4
6/4/2021,49,47,56,18,4,5
6/5/2021,83,60,80,12,2,5
6/6/2021,117,40,39,29,4,5
6/7/2021,68,45,56,33,4,5
6/8/2021,88,43,104,32,4,5
6/9/2021,83,53,51,35,4,5
6/10/2021,92,21,37,16,4,3
6/11/2021,56,22,40,16,4,3
6/12/2021,55,33,64,20,4,4
6/13/2021,77,42,67,34,5,5
6/14/2021,92,26,24,20,3,5
6/15/2021,65,10,29,10,3,3
6/16/2021,17,17,26,16,3,3
6/17/2021,33,17,28,18,3,4
6/18/2021,46,47,72,18,4,5
6/19/2021,101,49,89,16,4,5
6/20/2021,105,44,55,16,3,4
6/21/2021,93,22,45,19,4,3
6/22/2021,52,19,45,17,3,4
6/23/2021,44,33,48,22,3,4
6/24/2021,73,42,53,22,3,5
6/25/2021,92,21,47,14,3,4
6/26/2021,58,17,49,11,3,3
6/27/2021,43,17,25,21,2,4
6/28/2021,53,27,43,23,3,5
6/29/2021,73,40,42,43,4,6
6/30/2021,89,36,60,52,3,5
1/4/2021,83,30,22,22,3,5
1/5/2021,61,26,20,28,3,5
1/6/2021,58,31,22,11,4,4
1/7/2021,49,19,21,14,4,4
1/8/2021,44,26,22,19,7,5
1/9/2021,66,34,11,38,5,7
1/10/2021,86,46,5,48,5,9
1/11/2021,108,57,3,53,4,10
1/12/2021,140,77,8,47,5,9
1/13/2021,136,66,10,44,5,8
1/14/2021,98,63,14,48,5,9
1/15/2021,110,36,26,19,4,5
1/16/2021,115,14,22,19,4,4
